Sample_Group_VS_Control_Group	gene	log2FoldChange	pvalue	padj	mean_norm_counts	IS_Significant	Regulation_direction
challenge VS control	UBE2E2	0.28	0.101644953	2.93E-01	62.29	NO	No_Regulation
challenge VS control	SYNM	0.35	0.134577888	3.48E-01	7.74	NO	No_Regulation
challenge VS control	FIGN	0.21	0.352364991	6.02E-01	17.96	NO	No_Regulation
challenge VS control	AP1S2	0.27	0.289516782	5.39E-01	8.06	NO	No_Regulation
challenge VS control	C8orf33	0.55	0.01822901	9.26E-02	8.86	NO	No_Regulation
challenge VS control	C1S	0.02	0.923139624	9.67E-01	17.62	NO	No_Regulation
challenge VS control	LIPF	-0.42	NA	NA	7.07	NO	No_Regulation
challenge VS control	TRAPPC6B	0.04	0.863761491	9.38E-01	15.44	NO	No_Regulation
challenge VS control	NPLOC4	0	0.985937863	9.93E-01	24.56	NO	No_Regulation
challenge VS control	TSHZ2	0.33	0.033374544	1.41E-01	90.99	NO	No_Regulation
challenge VS control	CAPN12	-0.24	0.348433664	5.97E-01	11.13	NO	No_Regulation
challenge VS control	EXOC7	-0.39	0.032580339	1.39E-01	15.76	NO	No_Regulation
challenge VS control	KPNA2	1.08	6.91E-07	4.03E-05	10.14	YES	Up-Regulated in Sample Group
challenge VS control	CEP97	0.35	0.081807722	2.57E-01	11.45	NO	No_Regulation
challenge VS control	GLRX5	0.07	0.758657806	8.85E-01	12.94	NO	No_Regulation
challenge VS control	LIMK2	0.43	0.003363173	2.85E-02	43.89	NO	No_Regulation
challenge VS control	ADI1	-0.79	2.11E-05	5.66E-04	34.79	NO	No_Regulation
challenge VS control	RWDD4	0.08	0.751047939	8.81E-01	5.72	NO	No_Regulation
challenge VS control	CSF1R	0.66	0.013431406	7.53E-02	5.54	NO	No_Regulation
challenge VS control	C2orf82	0.07	0.739485095	8.76E-01	10.78	NO	No_Regulation
challenge VS control	TRAK1	-0.38	7.60E-04	9.28E-03	81.51	NO	No_Regulation
challenge VS control	PLCB1	0.31	0.022790642	1.09E-01	127.13	NO	No_Regulation
challenge VS control	SKA2	0.49	0.008966581	5.67E-02	13.67	NO	No_Regulation
challenge VS control	NTM	0.25	0.261507388	5.09E-01	13.63	NO	No_Regulation
challenge VS control	TTC3	0.16	0.179182532	4.09E-01	196.6	NO	No_Regulation
challenge VS control	KCNB2	0.42	0.021197723	1.04E-01	29.66	NO	No_Regulation
challenge VS control	IGIP	-0.37	0.104318205	2.98E-01	8.85	NO	No_Regulation
challenge VS control	TSKU	-0.9	7.30E-04	9.01E-03	4.72	NO	No_Regulation
challenge VS control	ANXA2	-0.06	0.687296304	8.47E-01	119.55	NO	No_Regulation
challenge VS control	RGS6	0.37	0.132717356	3.45E-01	10.03	NO	No_Regulation
challenge VS control	PAQR7	-1.52	2.42E-08	2.57E-06	27.04	YES	Down-Regulated in Sample Group
challenge VS control	PAPPA	0.43	0.056884149	2.02E-01	8.87	NO	No_Regulation
challenge VS control	GRID1	-0.89	2.27E-04	3.66E-03	6.54	NO	No_Regulation
challenge VS control	C1orf116	-0.38	0.047339611	1.78E-01	12.45	NO	No_Regulation
challenge VS control	ACBD3	0.49	0.003073003	2.66E-02	42.7	NO	No_Regulation
challenge VS control	C16orf72	0.09	0.688318812	8.47E-01	10.91	NO	No_Regulation
challenge VS control	RP1-222E13.10	0.4	0.102850806	2.95E-01	8.57	NO	No_Regulation
challenge VS control	ALG12	-0.46	0.069568947	2.31E-01	5.75	NO	No_Regulation
challenge VS control	LCK	0.04	0.849646359	9.30E-01	10.36	NO	No_Regulation
challenge VS control	COL18A1	0.35	0.112722026	3.12E-01	17.91	NO	No_Regulation
challenge VS control	RBM10	0.13	0.464138304	6.96E-01	19.19	NO	No_Regulation
challenge VS control	RPL35A	0.29	0.030152772	1.32E-01	86.96	NO	No_Regulation
challenge VS control	RGS7	0.03	0.914896373	9.63E-01	11.2	NO	No_Regulation
challenge VS control	ZNF721	-0.34	0.083321874	2.61E-01	12.44	NO	No_Regulation
challenge VS control	CEP63	0.08	0.61683589	8.06E-01	25.49	NO	No_Regulation
challenge VS control	SRPRA	0.49	0.020393704	1.01E-01	11.25	NO	No_Regulation
challenge VS control	OTOP3	-0.91	1.29E-05	3.92E-04	17.13	NO	No_Regulation
challenge VS control	EWSR1	0.08	0.483213342	7.13E-01	83.65	NO	No_Regulation
challenge VS control	SPATA13	-0.16	0.234657176	4.80E-01	81.8	NO	No_Regulation
challenge VS control	CNOT10	-0.01	0.963196474	9.84E-01	21.96	NO	No_Regulation
challenge VS control	MTA1	0.01	0.95413891	9.80E-01	11.85	NO	No_Regulation
challenge VS control	CADM1	-0.09	0.569156678	7.75E-01	38.94	NO	No_Regulation
challenge VS control	NAA38	0.25	0.269795568	5.18E-01	16.19	NO	No_Regulation
challenge VS control	SPNS2	-0.37	0.085053531	2.64E-01	11.88	NO	No_Regulation
challenge VS control	AP2A2	-0.31	0.042178275	1.65E-01	33.31	NO	No_Regulation
challenge VS control	SLC8A1	-0.21	0.137137665	3.51E-01	199.32	NO	No_Regulation
challenge VS control	SLC25A21	0.84	1.49E-04	2.63E-03	15.1	NO	No_Regulation
challenge VS control	ABAT	-0.35	0.061477326	2.12E-01	32.83	NO	No_Regulation
challenge VS control	SLC25A10	0.1	0.692373676	8.50E-01	6.08	NO	No_Regulation
challenge VS control	CAMK1D	0.62	4.37E-05	9.94E-04	56.8	NO	No_Regulation
challenge VS control	LYSMD4	-0.28	0.28060704	5.29E-01	4.58	NO	No_Regulation
challenge VS control	WBP2NL	-0.35	0.15924783	3.83E-01	6.18	NO	No_Regulation
challenge VS control	AFMID	-0.22	0.422118239	6.62E-01	28.23	NO	No_Regulation
challenge VS control	GAS6	-0.07	0.686415458	8.46E-01	15.59	NO	No_Regulation
challenge VS control	NEB	0.18	0.484245971	7.14E-01	6.62	NO	No_Regulation
challenge VS control	GPC6	0.46	0.002353335	2.17E-02	100.96	NO	No_Regulation
challenge VS control	ARHGEF37	-0.13	0.585520219	7.85E-01	10.12	NO	No_Regulation
challenge VS control	CSMD1	-0.98	2.49E-04	3.95E-03	16.67	NO	No_Regulation
challenge VS control	CEP57L1	0.11	0.588191546	7.86E-01	15.97	NO	No_Regulation
challenge VS control	FANCF	0.23	0.365832214	6.13E-01	5.52	NO	No_Regulation
challenge VS control	CALN1	0.3	0.253856168	5.03E-01	4.51	NO	No_Regulation
challenge VS control	SMDT1	-0.18	0.398132147	6.42E-01	17.34	NO	No_Regulation
challenge VS control	HSP90AB3P	0.63	8.58E-04	1.02E-02	23.19	NO	No_Regulation
challenge VS control	RUVBL2	0.7	0.003441166	2.90E-02	8.16	NO	No_Regulation
challenge VS control	CTNNA3	0.12	0.437203949	6.75E-01	37.97	NO	No_Regulation
challenge VS control	PTTG1IP	-0.29	0.077761321	2.48E-01	30.07	NO	No_Regulation
challenge VS control	DDX41	0.18	0.477842736	7.07E-01	5.71	NO	No_Regulation
challenge VS control	DAZAP2	-0.22	0.109705594	3.07E-01	48.04	NO	No_Regulation
challenge VS control	CCBE1	-0.06	0.824782864	9.19E-01	6.12	NO	No_Regulation
challenge VS control	SEP15	-0.02	0.90390177	9.57E-01	39.81	NO	No_Regulation
challenge VS control	AC005037.3	-0.39	0.038180751	1.55E-01	13.85	NO	No_Regulation
challenge VS control	ZNF623	0	0.992204537	9.96E-01	5.21	NO	No_Regulation
challenge VS control	CCDC125	0.05	0.760735679	8.86E-01	35.89	NO	No_Regulation
challenge VS control	BCOR	0.04	0.828723828	9.21E-01	24.94	NO	No_Regulation
challenge VS control	JRKL	-0.14	0.576029599	7.79E-01	6.1	NO	No_Regulation
challenge VS control	KIAA2026	-0.16	0.119135642	3.23E-01	97.22	NO	No_Regulation
challenge VS control	RIPK4	-0.21	0.420209689	6.60E-01	5.56	NO	No_Regulation
challenge VS control	NPIPA1	0.02	0.919583992	9.65E-01	5.43	NO	No_Regulation
challenge VS control	SF3A3	0.13	0.47835945	7.07E-01	17.04	NO	No_Regulation
challenge VS control	GRIN2A	-0.51	0.051960495	1.90E-01	6.15	NO	No_Regulation
challenge VS control	ASB7	0.02	0.934880417	9.72E-01	16.66	NO	No_Regulation
challenge VS control	MX2	-0.5	0.031697845	1.36E-01	11.68	NO	No_Regulation
challenge VS control	EP400	0.42	0.012397456	7.09E-02	28.8	NO	No_Regulation
challenge VS control	FAM46C	0.84	1.04E-04	1.98E-03	35.72	NO	No_Regulation
challenge VS control	COA5	-0.01	0.978831478	9.92E-01	6.91	NO	No_Regulation
challenge VS control	UTP11	0.65	0.00669796	4.62E-02	6.69	NO	No_Regulation
challenge VS control	PRR14L	-0.01	0.965679059	9.86E-01	46.42	NO	No_Regulation
challenge VS control	PCBP3	0.5	0.03107524	1.34E-01	12.05	NO	No_Regulation
challenge VS control	SETD3	-0.02	0.921793501	9.66E-01	40.7	NO	No_Regulation
challenge VS control	ZNRF3	0.7	5.30E-05	1.17E-03	26.35	NO	No_Regulation
challenge VS control	FBXL7	0.17	0.36286688	6.11E-01	59.16	NO	No_Regulation
challenge VS control	TANGO2	-0.15	0.554562184	7.65E-01	6.69	NO	No_Regulation
challenge VS control	RP11-347C12.2	-0.21	0.310946027	5.61E-01	11.22	NO	No_Regulation
challenge VS control	SFXN4	0.29	0.171651993	4.01E-01	12.64	NO	No_Regulation
challenge VS control	MRPL54	0.41	0.112476107	3.11E-01	7.5	NO	No_Regulation
challenge VS control	ZNF438	0.23	0.15333931	3.75E-01	39.94	NO	No_Regulation
challenge VS control	HMCES	0.68	8.02E-04	9.64E-03	12.26	NO	No_Regulation
challenge VS control	NDUFB1	-0.01	0.94171583	9.73E-01	21.71	NO	No_Regulation
challenge VS control	KLHL25	-0.02	0.941212933	9.73E-01	6.56	NO	No_Regulation
challenge VS control	RP11-823P9.1	-0.02	0.896694023	9.54E-01	56.12	NO	No_Regulation
challenge VS control	ALYREF	0.59	0.006375242	4.46E-02	11.85	NO	No_Regulation
challenge VS control	RFLNB	0.19	0.449928353	6.86E-01	6.58	NO	No_Regulation
challenge VS control	UPP1	-0.17	0.500246837	7.25E-01	4.67	NO	No_Regulation
challenge VS control	TRIM52	0.21	0.400304037	6.44E-01	9.18	NO	No_Regulation
challenge VS control	LHFP	0.07	0.766733737	8.89E-01	19.15	NO	No_Regulation
challenge VS control	CMTM4	-0.19	0.226688889	4.71E-01	42.61	NO	No_Regulation
challenge VS control	TMEM50A	-0.37	0.066995206	2.26E-01	23.58	NO	No_Regulation
challenge VS control	TBK1	-0.04	0.822307153	9.18E-01	34.8	NO	No_Regulation
challenge VS control	CBX6	-0.01	0.962546805	9.84E-01	10.69	NO	No_Regulation
challenge VS control	MACC1	-0.23	0.141683521	3.59E-01	105.07	NO	No_Regulation
challenge VS control	KREMEN1	0.29	0.215621322	4.57E-01	10.26	NO	No_Regulation
challenge VS control	CHEK2	0.44	0.05340677	1.94E-01	10.39	NO	No_Regulation
challenge VS control	KCTD16	-0.17	0.437077841	6.75E-01	10	NO	No_Regulation
challenge VS control	ZNF703	0.46	0.0667217	2.25E-01	8.83	NO	No_Regulation
challenge VS control	SLC35F3	-0.33	0.150132226	3.69E-01	9.12	NO	No_Regulation
challenge VS control	RBM12B	0.2	0.285917495	5.35E-01	16.16	NO	No_Regulation
challenge VS control	LIN9	-0.33	0.100281959	2.91E-01	18.43	NO	No_Regulation
challenge VS control	BTBD9	-0.56	1.03E-05	3.32E-04	208.15	NO	No_Regulation
challenge VS control	GPR39	0.15	0.353968295	6.03E-01	59.62	NO	No_Regulation
challenge VS control	FAM3B	-0.15	0.253368831	5.02E-01	61.44	NO	No_Regulation
challenge VS control	KIRREL	0.31	0.224324877	4.67E-01	6.72	NO	No_Regulation
challenge VS control	IQGAP3	0.65	0.017359479	8.94E-02	21.14	NO	No_Regulation
challenge VS control	TOB2	-0.31	0.06523159	2.22E-01	31.09	NO	No_Regulation
challenge VS control	UTY	0.09	0.670153212	8.37E-01	21.8	NO	No_Regulation
challenge VS control	PRKX	0.45	0.027342475	1.23E-01	15.21	NO	No_Regulation
challenge VS control	KMT5A	0.38	0.074669459	2.42E-01	11.22	NO	No_Regulation
challenge VS control	KCNH8	0.46	0.049014076	1.83E-01	15.28	NO	No_Regulation
challenge VS control	SMTN	0.41	0.095136024	2.82E-01	9.28	NO	No_Regulation
challenge VS control	CCDC56	0.26	0.230891831	4.75E-01	17.89	NO	No_Regulation
challenge VS control	ST6GALNAC3	0.1	0.646125108	8.23E-01	23.03	NO	No_Regulation
challenge VS control	PTP4A2	0.02	0.945859349	9.75E-01	5.56	NO	No_Regulation
challenge VS control	ACTG1	0.19	0.128405505	3.39E-01	200.39	NO	No_Regulation
challenge VS control	TMPRSS2	-0.15	0.308493098	5.58E-01	49.44	NO	No_Regulation
challenge VS control	DENND5A	0.11	0.655259876	8.28E-01	6.44	NO	No_Regulation
challenge VS control	DIABLO	0.08	0.740542296	8.77E-01	8.62	NO	No_Regulation
challenge VS control	ADAP2	-0.05	0.836115221	9.24E-01	8.89	NO	No_Regulation
challenge VS control	UQCR10	0.1	0.460448506	6.94E-01	77.42	NO	No_Regulation
challenge VS control	FAM120C	0.12	0.611504279	8.02E-01	6.82	NO	No_Regulation
challenge VS control	NIPSNAP1	0.43	0.041947139	1.65E-01	14.93	NO	No_Regulation
challenge VS control	CRELD2	0.64	0.00782258	5.16E-02	15.52	NO	No_Regulation
challenge VS control	SCFD2	0.47	7.54E-05	1.54E-03	81.63	NO	No_Regulation
challenge VS control	PPP1R2	0	0.999021417	1.00E+00	29.99	NO	No_Regulation
challenge VS control	TSPYL2	-0.08	0.769357974	8.91E-01	4.84	NO	No_Regulation
challenge VS control	PGP	0.16	0.493451248	7.19E-01	7.57	NO	No_Regulation
challenge VS control	SNRNP35	-0.1	0.630247477	8.14E-01	11.92	NO	No_Regulation
challenge VS control	IRAK1	0.06	0.761177906	8.86E-01	16.72	NO	No_Regulation
challenge VS control	CMSS1	0.56	8.06E-05	1.63E-03	42.43	NO	No_Regulation
challenge VS control	PCDH9	0.42	0.082214456	2.58E-01	13.02	NO	No_Regulation
challenge VS control	OAF	-0.36	0.030977847	1.34E-01	36.29	NO	No_Regulation
challenge VS control	ALDH1A3	-0.34	0.173903426	4.04E-01	7.8	NO	No_Regulation
challenge VS control	HIST2H2AC	0.88	5.32E-05	1.17E-03	10.75	NO	No_Regulation
challenge VS control	TM2D3	0.09	0.683027306	8.44E-01	9.33	NO	No_Regulation
challenge VS control	PRKD1	-1.29	1.04E-11	5.68E-09	62.83	YES	Down-Regulated in Sample Group
challenge VS control	CCSER1	-0.25	0.008137354	5.29E-02	408.91	NO	No_Regulation
challenge VS control	ZDHHC23	-0.37	0.131861247	3.44E-01	6.09	NO	No_Regulation
challenge VS control	SLIT3	0.38	0.10943788	3.06E-01	28.48	NO	No_Regulation
challenge VS control	EFNA5	-0.09	0.70379936	8.55E-01	18.66	NO	No_Regulation
challenge VS control	HIST1H1B	1.48	1.32E-08	1.62E-06	6.69	YES	Up-Regulated in Sample Group
challenge VS control	PKP3	-0.33	0.114994379	3.16E-01	12.69	NO	No_Regulation
challenge VS control	MAML2	-0.09	0.468094104	6.99E-01	173.4	NO	No_Regulation
challenge VS control	SS18L1	0.56	0.0113069	6.65E-02	9.43	NO	No_Regulation
challenge VS control	COPB2	0.11	0.407953469	6.50E-01	47.77	NO	No_Regulation
challenge VS control	LRRC19	-0.58	0.001140609	1.29E-02	24.88	NO	No_Regulation
challenge VS control	KNTC1	0.93	1.23E-05	3.76E-04	14.95	NO	No_Regulation
challenge VS control	NCMAP	-0.47	0.065363854	2.22E-01	7.2	NO	No_Regulation
challenge VS control	WDR27	0.26	0.178702768	4.09E-01	19.76	NO	No_Regulation
challenge VS control	TXNRD2	0.03	0.89728604	9.55E-01	6.41	NO	No_Regulation
challenge VS control	PROS1	0.08	0.731432449	8.72E-01	11.92	NO	No_Regulation
challenge VS control	C6orf58	0.35	0.172054059	4.01E-01	20.84	NO	No_Regulation
challenge VS control	LPAR5	-0.12	0.643981858	8.22E-01	4.87	NO	No_Regulation
challenge VS control	XPOT	0.36	0.098839561	2.89E-01	11.78	NO	No_Regulation
challenge VS control	PDE4B	0.73	5.55E-05	1.20E-03	25.39	NO	No_Regulation
challenge VS control	KCNH7	0.16	0.529823305	7.46E-01	8.85	NO	No_Regulation
challenge VS control	NELL2	-0.92	9.39E-06	3.09E-04	53.96	NO	No_Regulation
challenge VS control	MED12	-0.31	0.227256209	4.71E-01	4.47	NO	No_Regulation
challenge VS control	SEPT9	0.01	0.967988285	9.87E-01	56.85	NO	No_Regulation
challenge VS control	CDCA2	0.92	3.60E-04	5.32E-03	10.76	NO	No_Regulation
challenge VS control	OR7E14P	-0.21	0.334240595	5.83E-01	15.05	NO	No_Regulation
challenge VS control	RALYL	-0.92	7.48E-04	9.17E-03	35.08	NO	No_Regulation
challenge VS control	ZBTB40	0.05	0.757320247	8.84E-01	23.83	NO	No_Regulation
challenge VS control	EIF4ENIF1	-0.3	0.104928295	2.99E-01	14.97	NO	No_Regulation
challenge VS control	RNLS	0.33	0.080256992	2.54E-01	20.47	NO	No_Regulation
challenge VS control	FAM110C	0.03	0.904088248	9.58E-01	11.08	NO	No_Regulation
challenge VS control	ATL3	0.24	0.238531571	4.85E-01	15.98	NO	No_Regulation
challenge VS control	NDUFA12	-0.34	0.028037009	1.25E-01	36.13	NO	No_Regulation
challenge VS control	UBE2G2	0.34	0.025282082	1.16E-01	38.54	NO	No_Regulation
challenge VS control	OSBP2	-0.62	0.008033153	5.26E-02	11.12	NO	No_Regulation
challenge VS control	ZBTB7C	0.3	0.189159976	4.23E-01	13.95	NO	No_Regulation
challenge VS control	APOO	-0.19	0.444054744	6.82E-01	5.83	NO	No_Regulation
challenge VS control	PRR16	0.17	0.423364006	6.63E-01	19.04	NO	No_Regulation
challenge VS control	TMED9	0.38	0.084958709	2.64E-01	21.06	NO	No_Regulation
challenge VS control	SDR42E1	-0.06	0.785639119	8.98E-01	7.32	NO	No_Regulation
challenge VS control	RBM33	-0.03	0.828280718	9.21E-01	62.39	NO	No_Regulation
challenge VS control	BTBD6	0.39	0.119255836	3.23E-01	6.1	NO	No_Regulation
challenge VS control	H1FX	0.39	0.08835936	2.70E-01	11.02	NO	No_Regulation
challenge VS control	SUMO3	0.12	0.605522229	7.97E-01	10.4	NO	No_Regulation
challenge VS control	IMMP2L	-0.28	0.001831959	1.80E-02	323.44	NO	No_Regulation
challenge VS control	FMNL1	0.55	0.038094089	1.55E-01	5.48	NO	No_Regulation
challenge VS control	PTRHD1	0.2	0.451736821	6.88E-01	4.21	NO	No_Regulation
challenge VS control	ZFP90	-0.28	0.25785351	5.06E-01	6.09	NO	No_Regulation
challenge VS control	MUC6	0.07	0.777684765	8.95E-01	112.09	NO	No_Regulation
challenge VS control	NDUFA6	-0.4	0.04713129	1.78E-01	44.81	NO	No_Regulation
challenge VS control	SORCS2	0.51	0.043201346	1.68E-01	6.03	NO	No_Regulation
challenge VS control	TMEM106A	0.19	0.447158295	6.84E-01	4.69	NO	No_Regulation
challenge VS control	SIVA1	0.34	0.120614842	3.26E-01	11.5	NO	No_Regulation
challenge VS control	BRI3BP	0.21	0.221184408	4.64E-01	49.91	NO	No_Regulation
challenge VS control	DGAT1	-0.63	3.52E-04	5.24E-03	65.17	NO	No_Regulation
challenge VS control	RFX6	0.34	0.173927327	4.04E-01	7.89	NO	No_Regulation
challenge VS control	ROBO2	0.03	0.891478304	9.52E-01	12.65	NO	No_Regulation
challenge VS control	AP3M1	-0.12	0.608223135	7.99E-01	9.01	NO	No_Regulation
challenge VS control	CA13	-0.28	0.108009657	3.05E-01	40.34	NO	No_Regulation
challenge VS control	UBOX5	0.1	0.700111074	8.53E-01	5.09	NO	No_Regulation
challenge VS control	BRF1	0.02	0.947078675	9.76E-01	7.06	NO	No_Regulation
challenge VS control	SEMA4B	-0.21	0.228965148	4.73E-01	21.09	NO	No_Regulation
challenge VS control	CIB1	-0.06	0.743419232	8.77E-01	25.35	NO	No_Regulation
challenge VS control	ANKS1B	0.17	0.431553394	6.70E-01	16.41	NO	No_Regulation
challenge VS control	NELFA	0.04	0.86345413	9.38E-01	9.71	NO	No_Regulation
challenge VS control	SLC24A3	0.33	0.039767584	1.59E-01	53.77	NO	No_Regulation
challenge VS control	EFCAB10	0.5	0.025880849	1.18E-01	8.85	NO	No_Regulation
challenge VS control	FLRT2	0.41	0.110139319	3.08E-01	7.1	NO	No_Regulation
challenge VS control	RPS27L	-0.42	0.009594652	5.92E-02	43.89	NO	No_Regulation
challenge VS control	ANO9	-0.56	0.006281327	4.43E-02	15.74	NO	No_Regulation
challenge VS control	FAF1	0.11	0.301154363	5.51E-01	180.23	NO	No_Regulation
challenge VS control	HSF1	-0.06	0.765720624	8.89E-01	11.1	NO	No_Regulation
challenge VS control	PURA	-0.48	6.46E-04	8.24E-03	59.75	NO	No_Regulation
challenge VS control	INPP5J	-0.36	0.137315381	3.52E-01	6.08	NO	No_Regulation
challenge VS control	LRRC37B	-0.21	0.295745061	5.46E-01	10.9	NO	No_Regulation
challenge VS control	NOMO2	0.01	0.983200834	9.92E-01	7.24	NO	No_Regulation
challenge VS control	SIGIRR	0.01	0.94274853	9.74E-01	10.18	NO	No_Regulation
challenge VS control	TNFAIP2	0.44	0.06509401	2.22E-01	7.74	NO	No_Regulation
challenge VS control	ZNF445	0.32	0.221239629	4.64E-01	5.39	NO	No_Regulation
challenge VS control	TCEAL9	0.35	0.186772107	4.19E-01	4.38	NO	No_Regulation
challenge VS control	RAB11B	-0.04	0.876238349	9.45E-01	6.72	NO	No_Regulation
challenge VS control	PRMT3	0.08	0.607388472	7.99E-01	32.76	NO	No_Regulation
challenge VS control	PRPF39	-0.09	0.6642986	8.33E-01	36.18	NO	No_Regulation
challenge VS control	KIAA0825	-0.21	0.328829029	5.78E-01	26.01	NO	No_Regulation
challenge VS control	UBALD2	-0.61	0.001512681	1.58E-02	40.02	NO	No_Regulation
challenge VS control	ZBTB37	0.28	0.269103641	5.17E-01	5.93	NO	No_Regulation
challenge VS control	CCDC137	0.31	0.134456588	3.48E-01	9.69	NO	No_Regulation
challenge VS control	ARL15	-0.11	0.296889013	5.46E-01	282.3	NO	No_Regulation
challenge VS control	CDK10	-0.4	0.090645725	2.74E-01	13	NO	No_Regulation
challenge VS control	ATP6V0A2	-0.18	0.360215774	6.09E-01	16.43	NO	No_Regulation
challenge VS control	PARK2	-0.47	6.13E-04	7.93E-03	123.13	NO	No_Regulation
challenge VS control	HGS	-0.2	0.39176012	6.37E-01	8.68	NO	No_Regulation
challenge VS control	TNFAIP8L1	0.63	0.004858064	3.70E-02	7.88	NO	No_Regulation
challenge VS control	SP140L	0.19	0.287824765	5.37E-01	27.63	NO	No_Regulation
challenge VS control	MRPL30	0.41	0.068258781	2.28E-01	11.09	NO	No_Regulation
challenge VS control	TARSL2	-0.05	0.778909637	8.95E-01	22.3	NO	No_Regulation
challenge VS control	SMYD3	0.37	5.33E-04	7.15E-03	162.54	NO	No_Regulation
challenge VS control	METTL7A	-0.33	0.045461338	1.73E-01	28.86	NO	No_Regulation
challenge VS control	IFNLR1	-0.9	7.59E-07	4.37E-05	17.64	NO	No_Regulation
challenge VS control	FAM174B	0.19	0.377898196	6.25E-01	10.14	NO	No_Regulation
challenge VS control	C19orf68	0.26	0.322126604	5.72E-01	5.28	NO	No_Regulation
challenge VS control	TMEM179B	-0.39	0.076633484	2.46E-01	8.69	NO	No_Regulation
challenge VS control	GPRIN3	-0.36	0.00439542	3.46E-02	97.67	NO	No_Regulation
challenge VS control	C12orf48	1.1	1.00E-05	3.27E-04	12.09	YES	Up-Regulated in Sample Group
challenge VS control	ROR1	0.87	5.19E-07	3.20E-05	56.64	NO	No_Regulation
challenge VS control	SDHAP1	-0.18	0.339237446	5.87E-01	16.92	NO	No_Regulation
challenge VS control	RP11-504P24.3	0.4	0.063480394	2.18E-01	11.64	NO	No_Regulation
challenge VS control	BRCC3	0.34	0.027127447	1.22E-01	34.7	NO	No_Regulation
